id,x,y,z,tonn,ore,waste,ni,grade,process,blockvalue,destination,period
31,35,12,93,59.4,0.0,59.4,0.0,0.0,0.0,-207.9,0,
32,33,13,93,160.8,0.0,160.8,0.0,0.0,0.0,-562.7,0,2
33,34,13,93,2304.9,0.0,2304.9,0.0,0.0,0.0,-8066.9,0,9
34,34,14,93,160.7,0.0,160.7,0.0,0.0,0.0,-562.5,0,11
35,30,16,93,440.8,0.0,440.8,0.0,0.0,0.0,-1542.7,0,18
36,31,16,93,4616.0,0.0,4616.0,0.0,0.0,0.0,-16155.8,0,18
37,32,16,93,4.0,0.0,4.0,0.0,0.0,0.0,-13.8,0,1
38,30,17,93,611.2,0.0,611.2,0.0,0.0,0.0,-2139.3,0,
39,31,17,93,211.3,0.0,211.3,0.0,0.0,0.0,-739.7,0,18
40,51,33,93,15283.1,0.0,15283.1,0.0,0.0,0.0,-53490.8,0,
41,52,33,93,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
42,53,33,93,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
43,49,34,93,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
44,50,34,93,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
45,51,34,93,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
46,52,34,93,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
47,53,34,93,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
48,54,34,93,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
49,32,12,92,580.8,580.8,0.0,2.84,0.11,165.4,7675.7,1,11
50,33,12,92,3661.4,0.0,3661.4,0.0,0.0,0.0,-12815.0,0,13
51,34,12,92,3889.9,0.0,3889.9,0.0,0.0,0.0,-13614.4,0,19
52,35,12,92,1114.1,0.0,1114.1,0.0,0.0,0.0,-3899.4,0,
53,31,13,92,191.6,0.0,191.6,0.0,0.0,0.0,-670.6,0,10
54,32,13,92,1151.0,0.0,1151.0,0.0,0.0,0.0,-4028.4,0,5
55,33,13,92,13336.6,0.0,13336.6,0.0,0.0,0.0,-46678.1,0,2
56,34,13,92,14269.8,0.0,14269.8,0.0,0.0,0.0,-49944.2,0,9
57,35,13,92,1840.4,0.0,1840.4,0.0,0.0,0.0,-6441.4,0,
58,28,14,92,334.0,0.0,334.0,0.0,0.0,0.0,-1169.0,0,14
59,29,14,92,3324.6,0.0,3324.6,0.0,0.0,0.0,-11635.9,0,9
60,30,14,92,100.2,100.2,0.0,0.4,0.01,32.6,200.5,1,11
61,31,14,92,1757.5,0.0,1757.5,0.0,0.0,0.0,-6151.1,0,18
62,32,14,92,2817.7,0.0,2817.7,0.0,0.0,0.0,-9862.0,0,18
63,33,14,92,10068.5,0.0,10068.5,0.0,0.0,0.0,-35239.8,0,6
64,34,14,92,8949.7,0.0,8949.7,0.0,0.0,0.0,-31323.9,0,11
65,35,14,92,3478.3,0.0,3478.3,0.0,0.0,0.0,-12174.0,0,15
66,28,15,92,291.9,0.0,291.9,0.0,0.0,0.0,-1021.6,0,19
67,29,15,92,3889.5,0.0,3889.5,0.0,0.0,0.0,-13613.2,0,20
68,30,15,92,1334.6,0.0,1334.6,0.0,0.0,0.0,-4671.0,0,19
69,31,15,92,7925.7,0.0,7925.7,0.0,0.0,0.0,-27740.0,0,13
70,32,15,92,10921.2,0.0,10921.2,0.0,0.0,0.0,-38224.1,0,16
71,33,15,92,1247.8,0.0,1247.8,0.0,0.0,0.0,-4367.4,0,9
72,34,15,92,213.2,0.0,213.2,0.0,0.0,0.0,-746.2,0,5
73,28,16,92,4.5,0.0,4.5,0.0,0.0,0.0,-15.6,0,18
74,29,16,92,3883.2,0.0,3883.2,0.0,0.0,0.0,-13591.2,0,21
75,30,16,92,18586.8,0.0,18586.8,0.0,0.0,0.0,-65053.9,0,18
76,31,16,92,25691.4,0.0,25691.4,0.0,0.0,0.0,-89919.9,0,18
77,32,16,92,11549.3,0.0,11549.3,0.0,0.0,0.0,-40422.4,0,1
78,33,16,92,4483.0,0.0,4483.0,0.0,0.0,0.0,-15690.5,0,19
79,29,17,92,852.6,0.0,852.6,0.0,0.0,0.0,-2984.2,0,19
80,30,17,92,14283.1,0.0,14283.1,0.0,0.0,0.0,-49990.7,0,
81,31,17,92,12325.7,61.1,12264.6,0.22,0.01,15.4,-43139.8,0,18
82,32,17,92,2244.8,0.0,2244.8,0.0,0.0,0.0,-7856.8,0,
83,30,18,92,923.0,215.9,707.1,0.81,0.04,62.9,-3230.4,0,7
84,31,18,92,3.3,0.0,3.3,0.0,0.0,0.0,-11.4,0,14
85,51,33,92,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
86,52,33,92,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
87,53,33,92,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
88,49,34,92,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
89,50,34,92,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
90,51,34,92,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
91,52,34,92,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
92,53,34,92,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
93,54,34,92,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
94,9,9,91,45.0,0.0,45.0,0.0,0.0,0.0,-157.6,0,
95,10,9,91,270.0,0.0,270.0,0.0,0.0,0.0,-944.9,0,18
96,32,12,91,2803.2,0.0,2803.2,0.0,0.0,0.0,-9811.2,0,11
97,33,12,91,9119.6,0.0,9119.6,0.0,0.0,0.0,-31918.4,0,13
98,34,12,91,7001.8,0.0,7001.8,0.0,0.0,0.0,-24506.1,0,19
99,35,12,91,1839.2,0.0,1839.2,0.0,0.0,0.0,-6437.0,0,
100,37,12,91,3787.6,0.0,3787.6,0.0,0.0,0.0,-13256.5,0,7
101,38,12,91,122.2,0.0,122.2,0.0,0.0,0.0,-427.8,0,0
102,28,13,91,784.1,0.0,784.1,0.0,0.0,0.0,-2744.4,0,0
103,29,13,91,558.2,0.0,558.2,0.0,0.0,0.0,-1953.8,0,20
104,31,13,91,5871.0,457.2,5413.8,1.68,0.06,137.3,-20548.4,0,10
105,32,13,91,2090.0,0.0,2090.0,0.0,0.0,0.0,-7315.0,0,5
106,33,13,91,20652.5,0.0,20652.5,0.0,0.0,0.0,-72283.7,0,2
107,34,13,91,14217.5,0.0,14217.5,0.0,0.0,0.0,-49761.2,0,9
108,35,13,91,2145.0,0.0,2145.0,0.0,0.0,0.0,-7507.5,0,
109,37,13,91,1178.6,0.0,1178.6,0.0,0.0,0.0,-4125.2,0,13
110,38,13,91,549.5,0.0,549.5,0.0,0.0,0.0,-1923.3,0,2
111,28,14,91,10233.7,0.0,10233.7,0.0,0.0,0.0,-35817.9,0,14
112,29,14,91,21948.1,2818.8,19129.3,13.77,0.51,917.6,-76818.0,0,9
113,30,14,91,5151.9,2752.5,2399.4,10.8,0.5,859.3,-18031.5,0,19
114,31,14,91,19246.0,0.0,19246.0,0.0,0.0,0.0,-67360.8,0,18
115,32,14,91,9033.8,0.0,9033.8,0.0,0.0,0.0,-31618.1,0,18
116,33,14,91,18548.8,2282.5,16266.3,8.22,0.28,736.3,-64920.6,0,6
117,34,14,91,11220.0,0.0,11220.0,0.0,0.0,0.0,-39270.0,0,11
118,35,14,91,9888.7,0.0,9888.7,0.0,0.0,0.0,-34610.6,0,15
119,28,15,91,4164.6,0.0,4164.6,0.0,0.0,0.0,-14576.1,0,19
120,29,15,91,20220.4,0.0,20220.4,0.0,0.0,0.0,-70771.5,0,20
121,30,15,91,13839.0,0.0,13839.0,0.0,0.0,0.0,-48436.5,0,19
122,31,15,91,24752.6,0.0,24752.6,0.0,0.0,0.0,-86634.1,0,13
123,32,15,91,23567.5,0.0,23567.5,0.0,0.0,0.0,-82486.2,0,16
124,33,15,91,20465.3,2653.8,17811.5,9.99,0.32,849.0,-71628.5,0,9
125,34,15,91,6725.6,0.0,6725.6,0.0,0.0,0.0,-23539.7,0,5
126,35,15,91,294.9,0.0,294.9,0.0,0.0,0.0,-1032.0,0,14
127,28,16,91,4084.3,0.0,4084.3,0.0,0.0,0.0,-14294.9,0,18
128,29,16,91,13437.3,0.0,13437.3,0.0,0.0,0.0,-47030.4,0,21
129,30,16,91,24653.8,0.0,24653.8,0.0,0.0,0.0,-86288.1,0,18
130,31,16,91,25396.3,0.0,25396.3,0.0,0.0,0.0,-88886.8,0,18
131,32,16,91,15867.5,0.0,15867.5,0.0,0.0,0.0,-55536.2,0,1
132,33,16,91,15780.0,0.0,15780.0,0.0,0.0,0.0,-55230.1,0,19
133,34,16,91,3147.3,0.0,3147.3,0.0,0.0,0.0,-11015.4,0,4
134,29,17,91,6882.8,0.0,6882.8,0.0,0.0,0.0,-24089.7,0,19
135,30,17,91,19057.5,0.0,19057.5,0.0,0.0,0.0,-66701.2,0,
136,31,17,91,21729.7,0.0,21729.7,0.0,0.0,0.0,-76053.7,0,18
137,32,17,91,6038.0,0.0,6038.0,0.0,0.0,0.0,-21132.9,0,
138,33,17,91,308.9,0.0,308.9,0.0,0.0,0.0,-1081.2,0,14
139,29,18,91,15.7,0.0,15.7,0.0,0.0,0.0,-54.9,0,6
140,30,18,91,9352.6,2418.1,6934.5,8.71,0.29,675.5,-32734.1,0,7
141,31,18,91,1489.7,0.0,1489.7,0.0,0.0,0.0,-5214.0,0,14
142,52,32,91,19451.3,0.0,19451.3,0.0,0.0,0.0,-68079.2,0,
143,50,33,91,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
144,51,33,91,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
145,52,33,91,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
146,53,33,91,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
147,48,34,91,1389.4,0.0,1389.4,0.0,0.0,0.0,-4862.7,0,
148,49,34,91,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
149,50,34,91,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
150,51,34,91,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
151,52,34,91,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
152,53,34,91,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
153,54,34,91,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
154,9,9,90,771.0,0.0,771.0,0.0,0.0,0.0,-2698.4,0,
155,10,9,90,2311.7,0.0,2311.7,0.0,0.0,0.0,-8091.0,0,18
156,11,9,90,198.8,0.0,198.8,0.0,0.0,0.0,-695.6,0,19
157,10,10,90,1567.4,0.0,1567.4,0.0,0.0,0.0,-5485.7,0,17
158,11,10,90,1924.3,0.0,1924.3,0.0,0.0,0.0,-6735.1,0,20
159,37,11,90,9.9,0.0,9.9,0.0,0.0,0.0,-34.7,0,5
160,17,12,90,898.6,0.0,898.6,0.0,0.0,0.0,-3145.1,0,8
161,18,12,90,147.4,0.0,147.4,0.0,0.0,0.0,-515.8,0,10
162,31,12,90,292.7,0.0,292.7,0.0,0.0,0.0,-1024.5,0,7
163,32,12,90,4802.6,0.0,4802.6,0.0,0.0,0.0,-16809.2,0,11
164,33,12,90,10839.4,0.0,10839.4,0.0,0.0,0.0,-37937.9,0,13
165,34,12,90,8895.4,0.0,8895.4,0.0,0.0,0.0,-31133.9,0,19
166,35,12,90,2054.5,0.0,2054.5,0.0,0.0,0.0,-7190.5,0,
167,36,12,90,20.8,20.8,0.0,0.07,0.0,5.2,-72.9,0,4
168,37,12,90,8355.4,0.0,8355.4,0.0,0.0,0.0,-29244.0,0,7
169,38,12,90,1869.0,0.0,1869.0,0.0,0.0,0.0,-6541.5,0,0
170,28,13,90,5368.5,0.0,5368.5,0.0,0.0,0.0,-18789.8,0,0
171,29,13,90,4809.3,0.0,4809.3,0.0,0.0,0.0,-16832.6,0,20
172,30,13,90,1695.7,417.0,1278.7,1.74,0.05,162.5,-5934.7,0,16
173,31,13,90,13124.7,0.0,13124.7,0.0,0.0,0.0,-45936.4,0,10
174,32,13,90,2227.5,0.0,2227.5,0.0,0.0,0.0,-7796.2,0,5
175,33,13,90,21408.8,0.0,21408.8,0.0,0.0,0.0,-74930.6,0,2
176,34,13,90,14506.3,0.0,14506.3,0.0,0.0,0.0,-50771.8,0,9
177,35,13,90,2145.0,0.0,2145.0,0.0,0.0,0.0,-7507.5,0,
178,37,13,90,7406.9,0.0,7406.9,0.0,0.0,0.0,-25923.9,0,13
179,38,13,90,5115.3,0.0,5115.3,0.0,0.0,0.0,-17903.7,0,2
180,28,14,90,15067.1,0.0,15067.1,0.0,0.0,0.0,-52734.6,0,14
181,29,14,90,23595.1,2598.8,20996.3,11.44,0.63,824.9,-82582.5,0,9
182,30,14,90,7676.7,0.0,7676.7,0.0,0.0,0.0,-26868.3,0,19
183,31,14,90,20913.8,0.0,20913.8,0.0,0.0,0.0,-73198.1,0,18
184,32,14,90,8937.5,0.0,8937.5,0.0,0.0,0.0,-31281.2,0,18
185,33,14,90,17710.0,0.0,17710.0,0.0,0.0,0.0,-61985.0,0,6
186,34,14,90,10766.3,0.0,10766.3,0.0,0.0,0.0,-37681.8,0,11
187,35,14,90,14082.7,0.0,14082.7,0.0,0.0,0.0,-49289.5,0,15
188,28,15,90,6194.6,0.0,6194.6,0.0,0.0,0.0,-21680.9,0,19
189,29,15,90,19360.0,0.0,19360.0,0.0,0.0,0.0,-67760.0,0,20
190,30,15,90,14052.5,0.0,14052.5,0.0,0.0,0.0,-49183.7,0,19
191,31,15,90,23320.0,0.0,23320.0,0.0,0.0,0.0,-81620.0,0,13
192,32,15,90,21862.5,0.0,21862.5,0.0,0.0,0.0,-76518.7,0,16
193,33,15,90,23072.5,0.0,23072.5,0.0,0.0,0.0,-80753.7,0,9
194,34,15,90,18152.1,0.0,18152.1,0.0,0.0,0.0,-63532.4,0,5
195,35,15,90,3468.4,0.0,3468.4,0.0,0.0,0.0,-12139.4,0,14
196,28,16,90,9030.0,0.0,9030.0,0.0,0.0,0.0,-31605.0,0,18
197,29,16,90,13598.8,0.0,13598.8,0.0,0.0,0.0,-47595.6,0,21
198,30,16,90,22508.8,0.0,22508.8,0.0,0.0,0.0,-78780.6,0,18
199,31,16,90,24035.0,0.0,24035.0,0.0,0.0,0.0,-84122.5,0,18
200,32,16,90,15620.0,0.0,15620.0,0.0,0.0,0.0,-54670.0,0,1
201,33,16,90,16376.3,0.0,16376.3,0.0,0.0,0.0,-57316.8,0,19
202,34,16,90,11057.1,0.0,11057.1,0.0,0.0,0.0,-38699.9,0,4
203,29,17,90,7452.5,0.0,7452.5,0.0,0.0,0.0,-26083.7,0,19
204,30,17,90,18081.3,0.0,18081.3,0.0,0.0,0.0,-63284.3,0,
205,31,17,90,23589.7,0.0,23589.7,0.0,0.0,0.0,-82563.8,0,18
206,32,17,90,9514.8,0.0,9514.8,0.0,0.0,0.0,-33301.8,0,
207,33,17,90,2158.9,0.0,2158.9,0.0,0.0,0.0,-7556.1,0,14
208,34,17,90,467.0,0.0,467.0,0.0,0.0,0.0,-1634.4,0,5
209,29,18,90,1148.0,0.0,1148.0,0.0,0.0,0.0,-4017.8,0,6
210,30,18,90,16222.7,0.0,16222.7,0.0,0.0,0.0,-56779.4,0,7
211,31,18,90,8225.0,0.0,8225.0,0.0,0.0,0.0,-28787.4,0,14
212,32,18,90,89.9,0.0,89.9,0.0,0.0,0.0,-314.7,0,7
213,30,19,90,34.0,0.0,34.0,0.0,0.0,0.0,-118.9,0,12
214,31,19,90,920.2,0.0,920.2,0.0,0.0,0.0,-3220.7,0,5
215,52,32,90,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
216,53,32,90,18061.9,0.0,18061.9,0.0,0.0,0.0,-63216.4,0,
217,50,33,90,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
218,51,33,90,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
219,52,33,90,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
220,53,33,90,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
221,48,34,90,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
222,49,34,90,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
223,50,34,90,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
224,51,34,90,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
225,52,34,90,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
226,53,34,90,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
227,54,34,90,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
228,9,9,89,1702.2,0.0,1702.2,0.0,0.0,0.0,-5957.5,0,
229,10,9,89,7444.9,0.0,7444.9,0.0,0.0,0.0,-26057.2,0,18
230,11,9,89,2915.4,0.0,2915.4,0.0,0.0,0.0,-10203.8,0,19
231,9,10,89,12.2,0.0,12.2,0.0,0.0,0.0,-42.7,0,18
232,10,10,89,7449.0,0.0,7449.0,0.0,0.0,0.0,-26071.6,0,17
233,11,10,89,2475.0,0.0,2475.0,0.0,0.0,0.0,-8662.5,0,20
234,10,11,89,52.7,0.0,52.7,0.0,0.0,0.0,-184.5,0,17
235,11,11,89,221.3,0.0,221.3,0.0,0.0,0.0,-774.4,0,2
236,16,11,89,5.0,0.0,5.0,0.0,0.0,0.0,-17.5,0,16
237,17,11,89,1799.2,0.0,1799.2,0.0,0.0,0.0,-6297.1,0,10
238,18,11,89,280.3,0.0,280.3,0.0,0.0,0.0,-981.0,0,14
239,19,11,89,4209.6,0.0,4209.6,0.0,0.0,0.0,-14733.7,0,15
240,20,11,89,126.0,0.0,126.0,0.0,0.0,0.0,-441.0,0,13
241,36,11,89,146.2,146.2,0.0,0.61,0.02,38.4,560.9,1,11
242,37,11,89,185.0,0.0,185.0,0.0,0.0,0.0,-647.6,0,5
243,16,12,89,126.3,0.0,126.3,0.0,0.0,0.0,-442.1,0,
244,17,12,89,20151.6,0.0,20151.6,0.0,0.0,0.0,-70530.4,0,8
245,18,12,89,14413.0,0.0,14413.0,0.0,0.0,0.0,-50445.4,0,10
246,31,12,89,1345.0,18.2,1326.8,0.08,0.0,4.4,-4707.5,0,7
247,32,12,89,6787.5,0.0,6787.5,0.0,0.0,0.0,-23756.1,0,11
248,33,12,89,11247.5,0.0,11247.5,0.0,0.0,0.0,-39366.2,0,13
249,34,12,89,10198.8,0.0,10198.8,0.0,0.0,0.0,-35695.9,0,19
250,35,12,89,2021.3,0.0,2021.3,0.0,0.0,0.0,-7074.3,0,
251,36,12,89,691.5,0.0,691.5,0.0,0.0,0.0,-2420.2,0,4
252,37,12,89,10891.0,0.0,10891.0,0.0,0.0,0.0,-38118.5,0,7
253,38,12,89,4196.8,0.0,4196.8,0.0,0.0,0.0,-14688.7,0,0
254,16,13,89,38.7,0.0,38.7,0.0,0.0,0.0,-135.4,0,
255,17,13,89,3117.2,0.0,3117.2,0.0,0.0,0.0,-10910.0,0,4
256,18,13,89,6836.1,0.0,6836.1,0.0,0.0,0.0,-23926.3,0,18
257,19,13,89,4354.5,0.0,4354.5,0.0,0.0,0.0,-15240.6,0,20
258,21,13,89,5495.1,0.0,5495.1,0.0,0.0,0.0,-19232.8,0,5
259,28,13,89,9984.8,0.0,9984.8,0.0,0.0,0.0,-34946.8,0,0
260,29,13,89,8075.1,0.0,8075.1,0.0,0.0,0.0,-28262.7,0,20
261,30,13,89,4813.7,1344.1,3469.6,5.7,0.16,535.2,-16847.7,0,16
262,31,13,89,16643.1,1879.2,14763.9,8.73,0.34,533.1,-58250.9,0,10
263,32,13,89,2241.3,0.0,2241.3,0.0,0.0,0.0,-7844.3,0,5
264,33,13,89,21092.5,0.0,21092.5,0.0,0.0,0.0,-73823.7,0,2
265,34,13,89,15125.0,0.0,15125.0,0.0,0.0,0.0,-52937.5,0,9
266,35,13,89,2076.3,0.0,2076.3,0.0,0.0,0.0,-7266.8,0,
267,36,13,89,458.9,0.0,458.9,0.0,0.0,0.0,-1606.1,0,10
268,37,13,89,13138.2,0.0,13138.2,0.0,0.0,0.0,-45983.5,0,13
269,38,13,89,8121.0,0.0,8121.0,0.0,0.0,0.0,-28423.4,0,2
270,21,14,89,1289.7,0.0,1289.7,0.0,0.0,0.0,-4514.1,0,5
271,28,14,89,17182.4,0.0,17182.4,0.0,0.0,0.0,-60138.4,0,14
272,29,14,89,23127.5,0.0,23127.5,0.0,0.0,0.0,-80946.2,0,9
273,30,14,89,7631.3,0.0,7631.3,0.0,0.0,0.0,-26709.3,0,19
274,31,14,89,20336.3,0.0,20336.3,0.0,0.0,0.0,-71176.8,0,18
275,32,14,89,8621.3,0.0,8621.3,0.0,0.0,0.0,-30174.3,0,18
276,33,14,89,16445.0,0.0,16445.0,0.0,0.0,0.0,-57557.5,0,6
277,34,14,89,10615.0,0.0,10615.0,0.0,0.0,0.0,-37152.5,0,11
278,35,14,89,15552.7,0.0,15552.7,0.0,0.0,0.0,-54434.3,0,15
279,36,14,89,445.3,0.0,445.3,0.0,0.0,0.0,-1558.6,0,16
280,28,15,89,8019.3,0.0,8019.3,0.0,0.0,0.0,-28067.6,0,19
281,29,15,89,19373.8,0.0,19373.8,0.0,0.0,0.0,-67808.1,0,20
282,30,15,89,13488.8,0.0,13488.8,0.0,0.0,0.0,-47210.6,0,19
283,31,15,89,20418.8,0.0,20418.8,0.0,0.0,0.0,-71465.6,0,13
284,32,15,89,20116.3,0.0,20116.3,0.0,0.0,0.0,-70406.8,0,16
285,33,15,89,20446.3,0.0,20446.3,0.0,0.0,0.0,-71561.8,0,9
286,34,15,89,22312.8,0.0,22312.8,0.0,0.0,0.0,-78094.9,0,5
287,35,15,89,10431.7,0.0,10431.7,0.0,0.0,0.0,-36511.0,0,14
288,36,15,89,41.8,0.0,41.8,0.0,0.0,0.0,-146.2,0,2
289,28,16,89,11566.9,0.0,11566.9,0.0,0.0,0.0,-40483.9,0,18
290,29,16,89,13598.8,0.0,13598.8,0.0,0.0,0.0,-47595.6,0,21
291,30,16,89,20968.8,0.0,20968.8,0.0,0.0,0.0,-73390.6,0,18
292,31,16,89,21326.3,2791.3,18535.0,11.62,0.34,1224.2,-74641.8,0,18
293,32,16,89,14465.0,0.0,14465.0,0.0,0.0,0.0,-50627.5,0,1
294,33,16,89,15455.0,0.0,15455.0,0.0,0.0,0.0,-54092.5,0,19
295,34,16,89,16955.5,0.0,16955.5,0.0,0.0,0.0,-59344.4,0,4
296,35,16,89,189.0,0.0,189.0,0.0,0.0,0.0,-661.5,0,7
297,28,17,89,59.8,0.0,59.8,0.0,0.0,0.0,-209.2,0,16
298,29,17,89,7397.5,0.0,7397.5,0.0,0.0,0.0,-25891.2,0,19
299,30,17,89,17448.8,0.0,17448.8,0.0,0.0,0.0,-61070.6,0,
300,31,17,89,22990.0,0.0,22990.0,0.0,0.0,0.0,-80465.0,0,18
301,32,17,89,12527.2,0.0,12527.2,0.0,0.0,0.0,-43845.0,0,
302,33,17,89,5136.7,340.3,4796.4,1.44,0.16,107.0,-17978.4,0,14
303,34,17,89,1592.4,0.0,1592.4,0.0,0.0,0.0,-5573.4,0,5
304,28,18,89,13.2,0.0,13.2,0.0,0.0,0.0,-46.0,0,9
305,29,18,89,4579.0,0.0,4579.0,0.0,0.0,0.0,-16026.5,0,6
306,30,18,89,19581.2,2117.5,17463.7,10.0,0.26,1102.2,-68534.3,0,7
307,31,18,89,16301.6,2348.5,13953.1,11.09,0.43,840.4,-57055.8,0,14
308,32,18,89,1678.7,0.0,1678.7,0.0,0.0,0.0,-5875.5,0,7
309,30,19,89,1404.2,0.0,1404.2,0.0,0.0,0.0,-4914.7,0,12
310,31,19,89,11318.3,0.0,11318.3,0.0,0.0,0.0,-39613.8,0,5
311,32,19,89,160.7,0.0,160.7,0.0,0.0,0.0,-562.5,0,10
312,51,32,89,2778.8,0.0,2778.8,0.0,0.0,0.0,-9725.5,0,
313,52,32,89,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
314,53,32,89,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
315,50,33,89,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
316,51,33,89,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
317,52,33,89,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
318,53,33,89,27787.5,0.0,27787.5,0.0,0.0,0.0,-97256.1,0,
319,54,33,89,15283.1,0.0,15283.1,0.0,0.0,0.0,-53490.8,0,
320,46,34,89,13893.8,0.0,13893.8,0.0,0.0,0.0,-48628.0,0,
321,47,34,89,5557.5,0.0,5557.5,0.0,0.0,0.0,-19451.1,0,
