id,x,y,z,dest,phase,AuRec,AuFA,tons,co3,orgc,sulf,Mcost,Pcost,Tcost,Tvalue,Bvalue,rc_Stockpile,rc_RockChar,blockvalue,destination,period
84,25,12,38,1,2,0.63,0.0676,2406.01492,0.6,1.1,1.9,1.89,28.28,0.18,7.979,19198,8,lsf,19198,1,7
85,25,13,38,1,2,0.61,0.06356,2406.01492,0.9,1.0,1.9,1.89,28.28,0.18,4.544,10934,8,lsf,10934,1,
86,25,14,38,1,2,0.61,0.06392,2406.01492,1.4,0.9,2.2,1.89,28.28,0.18,4.742,11410,8,lsf,11410,1,
87,25,18,38,1,2,0.43,0.03473,2406.01492,10.7,0.4,0.9,1.89,28.28,0.18,-16.909,-40684,1,ssf,-40684,1,
88,25,19,38,1,2,0.27,0.04056,2406.01492,3.4,0.6,2.8,1.89,28.28,0.18,-20.494,-49309,4,ssf,-49309,1,
89,25,20,38,1,2,0.55,0.05536,2406.01492,2.1,0.5,2.3,1.89,28.28,0.18,-2.947,-7090,4,lsf,-7090,1,
90,25,21,38,1,2,0.58,0.07162,2406.01492,2.3,0.6,2.3,1.89,28.28,0.18,7.036,16928,4,lsf,16928,1,
91,25,22,38,1,2,0.63,0.08102,2406.01492,2.0,0.6,2.5,1.89,28.28,0.18,15.588,37506,4,msf,37506,1,
92,25,23,38,1,2,0.6,0.07423,2406.01492,2.0,0.6,3.0,1.89,28.28,0.18,9.734,23421,4,lsf,23421,1,
93,25,24,38,1,2,0.48,0.05669,2406.01492,2.1,0.6,3.0,1.89,28.28,0.18,-5.86,-14099,4,lsf,-14099,1,
94,25,25,38,1,2,0.43,0.04308,2406.01492,2.3,0.5,2.9,1.89,28.28,0.18,-13.678,-32910,4,ssf,-32910,1,
95,26,21,38,1,2,0.62,0.0653,2406.01492,1.8,0.5,2.8,1.89,28.28,0.18,6.087,14646,4,lsf,14646,1,
96,26,22,38,1,2,0.64,0.06972,2406.01492,1.8,0.5,3.1,1.89,28.28,0.18,9.809,23600,4,lsf,23600,1,
97,26,23,38,1,2,0.6,0.06251,2406.01492,1.8,0.5,3.1,1.89,28.28,0.18,3.405,8193,4,lsf,8193,1,
98,26,24,38,1,2,0.54,0.05359,2406.01492,1.8,0.5,3.1,1.89,28.28,0.18,-4.305,-10359,4,lsf,-10359,1,
99,26,25,38,1,2,0.29,0.03464,2406.01492,1.9,0.5,3.1,1.89,28.28,0.18,-21.309,-51270,4,ssf,-51270,1,
100,27,18,38,1,2,0.38,0.04757,2406.01492,3.7,0.6,2.6,1.89,28.28,0.18,-14.081,-33879,4,ssf,-33879,1,
101,27,19,38,1,2,0.42,0.05123,2406.01492,3.7,0.6,2.6,1.89,28.28,0.18,-10.985,-26430,4,lsf,-26430,1,
102,27,20,38,1,2,0.67,0.06103,2406.01492,1.8,0.4,2.7,1.89,28.28,0.18,6.451,15521,4,lsf,15521,1,
103,27,21,38,1,2,0.79,0.07224,2406.01492,12.6,0.3,1.4,1.89,28.28,0.18,21.013,50557,6,lsf,50557,1,
104,27,22,38,1,2,0.62,0.06475,2406.01492,1.7,0.5,3.2,1.89,28.28,0.18,5.781,13908,4,lsf,13908,1,
105,27,23,38,1,2,0.54,0.05329,2406.01492,1.6,0.5,3.2,1.89,28.28,0.18,-4.451,-10709,4,lsf,-10709,1,
106,27,24,38,1,2,0.39,0.0405,2406.01492,1.6,0.5,3.2,1.89,28.28,0.18,-16.135,-38820,4,ssf,-38820,1,
107,28,17,38,1,2,0.36,0.04633,2406.01492,3.7,0.6,2.6,1.89,28.28,0.18,-15.339,-36906,4,ssf,-36906,1,
108,28,18,38,1,2,0.38,0.04793,2406.01492,3.7,0.6,2.6,1.89,28.28,0.18,-13.958,-33583,4,ssf,-33583,1,
109,28,19,38,1,2,0.76,0.06252,2406.01492,14.3,0.3,1.4,1.89,28.28,0.18,12.414,29867,6,lsf,29867,1,
110,28,20,38,1,2,0.77,0.06524,2406.01492,12.6,0.3,1.4,1.89,28.28,0.18,14.861,35757,6,lsf,35757,1,
111,28,21,38,1,2,0.74,0.05874,2406.01492,12.5,0.3,1.4,1.89,28.28,0.18,8.771,21103,6,lsf,21103,1,
112,28,23,38,1,2,0.41,0.03361,2406.01492,8.7,0.4,1.8,1.89,28.28,0.18,-17.948,-43183,1,ssf,-43183,1,
113,4,19,39,1,2,0.57,0.03427,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,-12.758,-30697,1,ssf,-30697,1,
114,4,20,39,1,2,0.64,0.0415,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,-6.435,-15483,1,ssf,-15483,1,
115,4,21,39,1,2,0.62,0.05309,2406.01492,15.5,0.4,0.9,1.879,28.28,0.18,-0.715,-1720,6,ssf,-1720,1,
116,5,17,39,1,2,0.51,0.03026,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,-16.45,-39578,1,ssf,-39578,1,
117,5,18,39,1,2,0.55,0.0329,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,-14.054,-33813,1,ssf,-33813,1,
118,5,19,39,1,2,0.69,0.048,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,-0.531,-1278,1,ssf,-1278,1,
119,5,20,39,1,2,0.73,0.0561,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,6.519,15684,1,lsf,15684,1,
120,5,21,39,1,2,0.68,0.06253,2406.01492,14.7,0.4,0.9,1.879,28.28,0.18,7.929,19078,6,lsf,19078,1,
121,5,22,39,1,2,0.61,0.05086,2406.01492,13.5,0.4,0.9,1.879,28.28,0.18,-2.417,-5815,6,ssf,-5815,1,
122,6,16,39,1,2,0.61,0.03855,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,-9.175,-22075,1,ssf,-22075,1,
123,6,17,39,1,2,0.62,0.03969,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,-8.192,-19710,1,ssf,-19710,1,
124,6,18,39,1,2,0.67,0.04484,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,-3.3,-7941,1,ssf,-7941,1,
125,6,19,39,1,2,0.72,0.053,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,4.005,9636,1,lsf,9636,1,10
126,6,20,39,1,2,0.7,0.05014,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,1.249,3006,1,lsf,3006,1,10
127,6,21,39,1,2,0.61,0.05075,2406.01492,13.6,0.4,0.9,1.879,28.28,0.18,-2.477,-5960,6,ssf,-5960,1,
128,6,22,39,1,2,0.61,0.0517,2406.01492,13.4,0.4,0.9,1.879,28.28,0.18,-1.956,-4705,6,ssf,-4705,1,
129,6,23,39,1,2,0.63,0.05368,2406.01492,12.4,0.4,0.9,1.879,28.28,0.18,0.098,235,6,ssf,235,1,
130,7,15,39,1,2,0.62,0.03985,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,-8.103,-19495,1,ssf,-19495,1,
131,7,16,39,1,2,0.65,0.04283,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,-5.283,-12712,1,ssf,-12712,1,
132,7,17,39,1,2,0.65,0.04278,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,-5.313,-12782,1,ssf,-12782,1,
133,7,18,39,1,2,0.7,0.05094,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,1.753,4218,1,lsf,4218,1,10
134,7,19,39,1,2,0.7,0.05007,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,1.205,2899,1,lsf,2899,1,10
135,7,20,39,1,2,0.65,0.0433,2406.01492,10.2,0.3,1.4,1.879,28.28,0.18,-5.009,-12051,1,ssf,-12051,1,
136,7,24,39,1,2,0.32,0.03609,2406.01492,7.4,0.5,0.1,1.879,28.28,0.18,-19.945,-47988,1,ssf,-47988,1,
137,8,13,39,1,2,0.38,0.04002,2406.01492,5.3,0.5,2.9,1.879,28.28,0.18,-16.652,-40065,1,ssf,-40065,1,
138,8,14,39,1,2,0.66,0.04376,2406.01492,5.4,0.3,2.9,1.879,28.28,0.18,-4.346,-10455,1,ssf,-10455,1,
139,8,15,39,1,2,0.56,0.0454,2406.01492,7.3,0.4,3.1,1.879,28.28,0.18,-7.457,-17943,1,ssf,-17943,1,
140,8,16,39,1,2,0.33,0.04373,2406.01492,4.8,0.6,3.0,1.879,28.28,0.18,-17.351,-41747,1,ssf,-41747,1,
141,8,17,39,1,2,0.42,0.05064,2406.01492,3.7,0.6,2.6,1.879,28.28,0.18,-11.197,-26940,4,ssf,-26940,1,
142,8,18,39,1,2,0.39,0.04818,2406.01492,3.7,0.6,2.6,1.879,28.28,0.18,-13.428,-32308,4,ssf,-32308,1,
143,8,19,39,1,2,0.27,0.04039,2406.01492,3.7,0.6,2.6,1.879,28.28,0.18,-20.524,-49382,4,ssf,-49382,1,
144,8,20,39,1,2,0.29,0.04124,2406.01492,3.7,0.6,2.6,1.879,28.28,0.18,-19.575,-47099,4,ssf,-47099,1,
145,8,21,39,1,2,0.49,0.03884,2406.01492,9.5,0.4,1.8,1.879,28.28,0.18,-13.211,-31785,1,ssf,-31785,1,
146,9,12,39,1,2,0.34,0.0374,2406.01492,5.4,0.5,2.9,1.879,28.28,0.18,-18.895,-45461,1,ssf,-45461,1,
147,9,13,39,1,2,0.39,0.04016,2406.01492,5.5,0.5,3.0,1.879,28.28,0.18,-16.243,-39081,1,ssf,-39081,1,
148,9,14,39,1,2,0.66,0.04381,2406.01492,5.5,0.3,3.0,1.879,28.28,0.18,-4.316,-10384,1,ssf,-10384,1,
149,9,16,39,1,2,0.45,0.05412,2406.01492,7.5,0.6,3.2,1.879,28.28,0.18,-8.42,-20260,1,lsf,-20260,1,
150,9,17,39,1,2,0.39,0.04855,2406.01492,3.7,0.6,2.6,1.879,28.28,0.18,-13.298,-31995,4,ssf,-31995,1,
151,9,18,39,1,2,0.31,0.04286,2406.01492,3.7,0.6,2.6,1.879,28.28,0.18,-18.381,-44225,4,ssf,-44225,1,
152,9,19,39,1,2,0.25,0.03921,2406.01492,0.1,0.6,1.9,1.879,28.28,0.18,-21.517,-51770,4,ssf,-51770,1,
153,10,11,39,1,2,0.24,0.03223,2406.01492,5.7,0.5,2.9,1.879,28.28,0.18,-23.377,-56246,1,ssf,-56246,1,
154,10,12,39,1,2,0.36,0.03855,2406.01492,5.6,0.5,3.0,1.879,28.28,0.18,-17.849,-42944,1,ssf,-42944,1,
155,10,13,39,1,2,0.45,0.04478,2406.01492,5.6,0.5,3.0,1.879,28.28,0.18,-12.203,-29361,1,ssf,-29361,1,
156,10,14,39,1,2,0.5,0.04931,2406.01492,5.3,0.5,3.1,1.879,28.28,0.18,-8.15,-19608,1,lsf,-19608,1,
157,10,15,39,1,2,0.7,0.05107,2406.01492,5.3,0.3,3.1,1.879,28.28,0.18,1.835,4415,1,lsf,4415,1,10
158,10,16,39,1,2,0.39,0.04853,2406.01492,7.5,0.6,3.2,1.879,28.28,0.18,-13.305,-32012,1,ssf,-32012,1,
159,10,17,39,1,2,0.35,0.04528,2406.01492,4.8,0.6,2.6,1.879,28.28,0.18,-16.076,-38679,1,ssf,-38679,1,
160,10,18,39,1,2,0.26,0.0398,2406.01492,3.7,0.6,2.6,1.879,28.28,0.18,-21.026,-50588,4,ssf,-50588,1,
161,10,19,39,1,2,0.11,0.03281,2406.01492,0.1,0.6,1.9,1.879,28.28,0.18,-27.091,-65181,4,ssf,-65181,1,
162,11,12,39,1,2,0.37,0.03918,2406.01492,5.8,0.5,3.0,1.879,28.28,0.18,-17.292,-41605,1,ssf,-41605,1,
163,11,13,39,1,2,0.54,0.04352,2406.01492,5.7,0.4,3.0,1.879,28.28,0.18,-9.188,-22107,1,ssf,-22107,1,
164,11,14,39,1,2,0.58,0.04765,2406.01492,5.2,0.4,3.1,1.879,28.28,0.18,-5.466,-13151,1,ssf,-13151,1,
165,11,17,39,1,2,0.32,0.04344,2406.01492,4.8,0.6,3.0,1.879,28.28,0.18,-17.828,-42895,1,ssf,-42895,1,
166,11,18,39,1,2,0.16,0.03486,2406.01492,11.9,0.6,2.6,1.879,28.28,0.18,-25.319,-60918,1,ssf,-60918,1,
167,12,12,39,1,2,0.43,0.03457,2406.01492,3.6,0.4,3.2,1.879,28.28,0.18,-16.96,-40807,4,ssf,-40807,1,
168,12,13,39,1,2,0.45,0.03607,2406.01492,4.1,0.4,3.1,1.879,28.28,0.18,-15.731,-37848,1,ssf,-37848,1,
169,12,14,39,1,2,0.66,0.0446,2406.01492,5.5,0.3,3.0,1.879,28.28,0.18,-3.847,-9255,1,ssf,-9255,1,
170,12,16,39,1,2,0.48,0.038,2406.01492,8.9,0.4,3.0,1.879,28.28,0.18,-13.923,-33499,1,ssf,-33499,1,
171,12,17,39,1,2,0.49,0.03894,2406.01492,7.2,0.4,1.7,1.879,28.28,0.18,-13.166,-31679,1,ssf,-31679,1,
172,12,18,39,1,2,0.43,0.03431,2406.01492,7.5,0.4,1.7,1.879,28.28,0.18,-17.061,-41049,1,ssf,-41049,1,
173,12,23,39,1,2,0.1,0.03255,2406.01492,8.7,0.6,1.7,1.879,28.28,0.18,-27.41,-65948,1,ssf,-65948,1,
174,12,24,39,1,2,0.18,0.03584,2406.01492,8.6,0.6,1.8,1.879,28.28,0.18,-24.533,-59027,1,ssf,-59027,1,
175,13,14,39,1,2,0.57,0.03425,2406.01492,8.0,0.3,3.0,1.879,28.28,0.18,-12.769,-30722,1,ssf,-30722,1,
176,13,15,39,1,2,0.56,0.03378,2406.01492,8.1,0.3,3.0,1.879,28.28,0.18,-13.314,-32033,1,ssf,-32033,1,
177,13,22,39,1,2,0.35,0.03812,2406.01492,8.8,0.5,1.9,1.879,28.28,0.18,-18.331,-44105,1,ssf,-44105,1,
178,13,23,39,1,2,0.48,0.04723,2406.01492,8.8,0.5,1.9,1.879,28.28,0.18,-9.936,-23905,1,ssf,-23905,1,
179,14,20,39,1,2,0.26,0.03965,2406.01492,0.4,0.6,2.3,1.879,28.28,0.18,-21.061,-50673,4,ssf,-50673,1,
180,14,21,39,1,2,0.43,0.04291,2406.01492,0.4,0.5,2.3,1.879,28.28,0.18,-13.733,-33041,4,ssf,-33041,1,
181,14,22,39,1,2,0.49,0.04876,2406.01492,0.3,0.5,2.2,1.879,28.28,0.18,-8.836,-21259,4,ssf,-21259,1,
182,14,23,39,1,2,0.59,0.0606,2406.01492,0.3,0.5,2.2,1.879,28.28,0.18,1.84,4426,4,lsf,4426,1,10
183,14,24,39,1,2,0.58,0.05892,2406.01492,0.4,0.5,2.2,1.879,28.28,0.18,0.417,1004,4,lsf,1004,1,10
184,14,25,39,1,2,0.59,0.06114,2406.01492,0.5,0.5,2.2,1.879,28.28,0.18,2.126,5116,4,lsf,5116,1,10
185,14,26,39,1,2,0.61,0.06314,2406.01492,0.5,0.5,2.1,1.879,28.28,0.18,4.325,10406,4,lsf,10406,1,9
186,14,27,39,1,2,0.6,0.06272,2406.01492,0.6,0.5,2.1,1.879,28.28,0.18,3.53,8493,4,lsf,8493,1,10
187,14,28,39,1,2,0.51,0.05012,2406.01492,0.6,0.5,2.0,1.879,28.28,0.18,-7.334,-17646,4,ssf,-17646,1,
188,14,30,39,1,2,0.29,0.03472,2406.01492,1.1,0.5,2.3,1.879,28.28,0.18,-21.277,-51193,4,ssf,-51193,1,
189,14,33,39,1,2,0.24,0.03858,2406.01492,0.3,0.6,0.9,1.879,28.28,0.18,-22.006,-52946,4,ssf,-52946,1,
