id,x,y,z,tonn,blockvalue,destination,au,ag,cu,period
76,60,22,64,4258.8,-5787,1,0.013,1.074,0.035,5
77,61,22,64,4258.8,-1449,1,0.014,1.074,0.05,5
78,57,23,64,4258.8,-6984,0,0.013,1.074,0.02,3
79,58,23,64,4258.8,-6984,0,0.01,1.074,0.018,3
80,59,23,64,4258.8,-6984,0,0.008,1.074,0.026,3
81,60,23,64,4258.8,-6984,0,0.011,1.074,0.033,5
82,61,23,64,4258.8,-3065,1,0.012,1.074,0.086,5
83,57,24,64,4258.8,-6984,0,0.012,1.074,0.017,3
84,58,24,64,4258.8,-6984,0,0.009,1.074,0.026,3
85,59,24,64,4258.8,-6984,0,0.007,1.074,0.03,5
86,60,24,64,4258.8,-6984,0,0.009,1.074,0.043,
87,61,24,64,4258.8,-4831,1,0.011,1.074,0.086,
88,57,25,64,4258.8,-6984,0,0.011,1.074,0.025,3
89,58,25,64,4258.8,-6984,0,0.011,1.074,0.029,5
90,59,25,64,4258.8,-6984,0,0.007,1.074,0.02,
91,60,25,64,4258.8,-6984,0,0.008,1.074,0.026,
92,61,25,64,4258.8,-6984,0,0.011,1.074,0.016,
93,57,26,64,4258.8,-6984,0,0.01,1.074,0.028,5
94,58,26,64,4258.8,-6984,0,0.01,1.074,0.021,
95,59,26,64,4258.8,-6984,0,0.009,1.074,0.015,
96,60,26,64,4258.8,-6984,0,0.008,1.074,0.018,
97,61,26,64,4258.8,-6984,0,0.008,1.074,0.016,
98,57,27,64,4258.8,-6984,0,0.008,1.074,0.02,5
99,58,27,64,4258.8,-6984,0,0.009,1.074,0.032,
100,59,27,64,4258.8,-6984,0,0.009,1.074,0.014,
101,60,27,64,4258.8,-6984,0,0.009,1.074,0.016,
102,61,27,64,4258.8,-6984,0,0.007,1.074,0.018,
103,57,28,64,4258.8,-6984,0,0.008,1.074,0.016,4
104,58,28,64,4258.8,-6984,0,0.009,1.074,0.016,
105,59,28,64,4258.8,-6984,0,0.009,1.074,0.017,
106,60,28,64,4258.8,-6984,0,0.01,1.074,0.019,
107,61,28,64,4258.8,-6984,0,0.009,1.074,0.018,
108,57,29,64,4258.8,-6984,0,0.009,1.074,0.015,3
109,58,29,64,4258.8,-6984,0,0.009,1.074,0.012,
110,59,29,64,4258.8,-6984,0,0.009,1.074,0.009,
111,60,29,64,4258.8,-6984,0,0.011,1.074,0.009,
112,61,29,64,4258.8,-6984,0,0.011,1.074,0.011,
113,57,30,64,4258.8,-6984,0,0.008,1.074,0.011,3
114,58,30,64,4258.8,-6984,0,0.008,1.074,0.009,5
115,59,30,64,4258.8,-6984,0,0.01,1.074,0.007,
116,60,30,64,4258.8,-2622,1,0.013,1.074,0.011,
117,61,30,64,4258.8,554,1,0.013,1.074,0.095,5
118,57,31,64,4258.8,-6984,0,0.007,1.074,0.01,2
119,58,31,64,4258.8,-6984,0,0.008,1.074,0.015,5
120,59,31,64,4258.8,-6984,0,0.009,1.074,0.01,
121,60,31,64,4258.8,-3478,1,0.013,1.074,0.011,
122,61,31,64,4258.8,6189,1,0.012,1.074,0.095,4
123,57,32,64,4258.8,-6984,0,0.007,1.074,0.015,2
124,58,32,64,4258.8,-6984,0,0.006,1.074,0.013,3
125,59,32,64,4258.8,-6984,0,0.009,1.074,0.01,
126,60,32,64,4258.8,-6984,0,0.011,1.074,0.015,
127,61,32,64,4258.8,-2124,1,0.012,1.074,0.095,
128,57,33,64,4258.8,-6984,0,0.008,1.074,0.013,2
129,58,33,64,4258.8,-6984,0,0.007,1.074,0.014,2
130,59,33,64,4258.8,-6984,0,0.008,1.074,0.01,
131,60,33,64,4258.8,-6984,0,0.011,1.074,0.014,
132,61,33,64,4258.8,-6984,0,0.012,1.074,0.016,
133,58,34,64,4258.8,-6984,0,0.008,1.074,0.014,2
134,59,34,64,4258.8,-6984,0,0.007,1.074,0.014,
135,60,34,64,4258.8,-6984,0,0.009,1.074,0.017,
136,61,34,64,4258.8,-6984,0,0.014,1.074,0.015,
137,58,35,64,4258.8,-6984,0,0.008,1.074,0.016,2
138,59,35,64,4258.8,-6984,0,0.009,1.074,0.017,
139,60,35,64,4258.8,-6984,0,0.007,1.074,0.014,
140,61,35,64,4258.8,-6984,0,0.01,1.074,0.014,
141,59,36,64,4258.8,-6984,0,0.009,1.074,0.017,
142,60,36,64,4258.8,-6984,0,0.006,1.074,0.015,
143,61,36,64,4258.8,-6984,0,0.009,1.074,0.013,
144,59,37,64,4258.8,-6984,0,0.01,1.074,0.014,
145,60,37,64,4258.8,-6984,0,0.01,1.074,0.014,
146,59,38,64,4258.8,-6984,0,0.012,1.074,0.015,5
147,60,38,64,4258.8,-6984,0,0.013,1.074,0.011,
148,59,39,64,4258.8,-1926,1,0.016,1.074,0.011,5
149,59,40,64,4258.8,-2043,1,0.015,1.074,0.018,
150,58,9,63,3120.0,-5116,0,0.0,1.108,0.0,
151,59,9,63,3120.0,-4087,1,0.0,1.108,0.0,
152,60,9,63,3120.0,-4087,1,0.0,1.108,0.0,
153,61,9,63,3120.0,-4087,1,0.0,1.108,0.0,
154,55,10,63,3120.0,-5116,0,0.0,1.108,0.0,1
155,56,10,63,3120.0,-5116,0,0.0,1.108,0.0,1
156,57,10,63,3120.0,-5116,0,0.0,1.108,0.0,1
157,58,10,63,3120.0,-5116,0,0.0,1.108,0.0,
158,59,10,63,3120.0,-5116,0,0.0,1.108,0.0,
159,60,10,63,3120.0,-4087,1,0.0,1.108,0.0,
160,61,10,63,3120.0,-4087,1,0.0,1.108,0.0,
161,54,11,63,3120.0,-5116,0,0.0,1.108,0.0,0
162,55,11,63,3120.0,-5116,0,0.0,1.108,0.0,1
163,56,11,63,3120.0,-5116,0,0.0,1.108,0.0,1
164,57,11,63,3120.0,-5116,0,0.0,1.108,0.0,1
165,58,11,63,3120.0,-5116,0,0.0,1.108,0.0,5
166,59,11,63,3120.0,-5116,0,0.0,1.108,0.0,
167,60,11,63,3120.0,-4087,1,0.0,1.108,0.0,
168,61,11,63,3120.0,-4087,1,0.0,1.108,0.0,
169,52,12,63,3120.0,-5116,0,0.0,1.108,0.0,0
170,53,12,63,3120.0,-5116,0,0.0,1.108,0.0,0
171,54,12,63,3120.0,-5116,0,0.0,1.108,0.0,0
172,55,12,63,3120.0,-5116,0,0.0,1.108,0.0,1
173,56,12,63,3120.0,-5116,0,0.0,1.108,0.0,1
174,57,12,63,3120.0,-5116,0,0.0,1.108,0.0,1
175,58,12,63,3120.0,-5116,0,0.0,1.108,0.0,3
176,59,12,63,3120.0,-5116,0,0.0,1.108,0.0,5
177,60,12,63,3120.0,-5116,0,0.0,1.108,0.0,
178,61,12,63,3120.0,-5116,0,0.0,1.108,0.0,
179,52,13,63,3120.0,-5116,0,0.0,1.108,0.0,0
180,53,13,63,3120.0,-5116,0,0.0,1.108,0.0,0
181,54,13,63,3120.0,-5116,0,0.0,1.108,0.0,0
182,55,13,63,3120.0,-5116,0,0.0,1.108,0.0,1
183,56,13,63,3120.0,-5116,0,0.0,1.108,0.0,1
184,57,13,63,3120.0,-5116,0,0.0,1.108,0.0,1
185,58,13,63,3120.0,-5116,0,0.0,1.108,0.0,3
186,59,13,63,3120.0,-5116,0,0.0,1.108,0.0,5
187,60,13,63,3120.0,-5116,0,0.0,1.108,0.0,
188,61,13,63,3120.0,-5116,0,0.0,1.108,0.0,
189,53,14,63,3120.0,-5116,0,0.0,1.108,0.0,0
190,54,14,63,3120.0,-5116,0,0.0,1.108,0.0,1
191,55,14,63,3120.0,-5116,0,0.0,1.108,0.0,1
192,56,14,63,3120.0,-5116,0,0.0,1.108,0.0,1
193,57,14,63,3120.0,-5116,0,0.0,1.108,0.0,1
194,58,14,63,3120.0,-5116,0,0.0,1.108,0.0,3
195,59,14,63,3120.0,-5116,0,0.0,1.108,0.0,2
196,60,14,63,3120.0,-5116,0,0.0,1.108,0.0,3
197,61,14,63,3120.0,-5116,0,0.0,1.108,0.0,3
198,53,15,63,3120.0,-5116,0,0.0,1.108,0.0,0
199,54,15,63,3120.0,-5116,0,0.0,1.108,0.0,1
200,55,15,63,3120.0,-5116,0,0.0,1.108,0.0,1
201,56,15,63,3120.0,-5116,0,0.0,1.108,0.0,1
202,57,15,63,3120.0,-5116,0,0.0,1.108,0.0,1
203,58,15,63,3120.0,-5116,0,0.0,1.108,0.0,1
204,59,15,63,4258.8,33156,1,0.028,1.146,0.115,1
205,60,15,63,4258.8,37079,1,0.029,1.146,0.124,0
206,61,15,63,4258.8,44444,1,0.031,1.146,0.155,0
207,53,16,63,3120.0,-5116,0,0.0,1.108,0.0,1
208,54,16,63,3120.0,-5116,0,0.0,1.108,0.0,1
209,55,16,63,3120.0,-5116,0,0.0,1.108,0.0,1
210,56,16,63,3120.0,-5116,0,0.0,1.108,0.0,1
211,57,16,63,3120.0,-5116,0,0.0,1.108,0.0,1
212,58,16,63,4258.8,49748,1,0.031,1.146,0.206,0
213,59,16,63,4258.8,42231,1,0.031,1.146,0.127,0
214,60,16,63,4258.8,50239,1,0.034,1.146,0.14,0
215,61,16,63,4258.8,83627,1,0.049,1.146,0.178,0
216,53,17,63,3120.0,-5116,0,0.0,1.108,0.0,1
217,54,17,63,3120.0,-5116,0,0.0,1.108,0.0,0
218,55,17,63,3120.0,-5116,0,0.0,1.108,0.0,1
219,56,17,63,4414.8,-7240,0,0.0,1.108,0.0,1
220,57,17,63,4149.6,9369,1,0.021,1.146,0.061,1
221,58,17,63,4149.6,-6805,0,0.031,1.146,0.232,3
222,59,17,63,4258.8,28920,1,0.029,1.146,0.037,1
223,60,17,63,4258.8,40543,1,0.029,1.146,0.16,0
224,61,17,63,4258.8,28574,1,0.023,1.146,0.154,1
225,53,18,63,4258.8,-6984,0,0.0,1.108,0.0,1
226,54,18,63,4149.6,-6805,0,0.0,1.108,0.0,1
227,55,18,63,4258.8,25827,1,0.02,1.074,0.162,1
228,56,18,63,4258.8,-5051,1,0.01,1.074,0.072,1
229,57,18,63,4149.6,9190,1,0.022,1.074,0.026,1
230,58,18,63,4149.6,-6805,0,0.031,1.074,0.024,3
231,59,18,63,4149.6,23732,1,0.029,1.074,0.053,1
232,60,18,63,4258.8,33165,1,0.028,1.074,0.114,0
233,61,18,63,4258.8,26782,1,0.023,1.074,0.153,1
234,53,19,63,4258.8,38859,1,0.027,1.182,0.163,0
235,54,19,63,4258.8,37874,1,0.02,1.074,0.213,0
236,55,19,63,4258.8,11032,1,0.016,1.074,0.127,1
237,56,19,63,4258.8,-169,1,0.012,1.074,0.088,1
238,57,19,63,4149.6,-6805,0,0.01,1.074,0.031,1
239,58,19,63,4149.6,6593,1,0.02,1.074,0.048,3
240,59,19,63,4149.6,24851,1,0.03,1.074,0.061,2
241,60,19,63,4258.8,29125,1,0.026,1.074,0.118,1
242,61,19,63,4258.8,2481,1,0.014,1.074,0.085,5
243,53,20,63,4258.8,32737,1,0.026,1.182,0.131,0
244,54,20,63,4258.8,37049,1,0.016,1.074,0.122,0
245,55,20,63,4258.8,4874,1,0.016,1.074,0.084,1
246,56,20,63,4258.8,-6984,0,0.011,1.074,0.039,1
247,57,20,63,4258.8,-6984,0,0.01,1.074,0.03,1
248,58,20,63,4258.8,-6984,0,0.011,1.074,0.048,3
249,59,20,63,4258.8,1528,1,0.014,1.074,0.073,5
250,60,20,63,4258.8,2442,1,0.014,1.074,0.075,5
251,61,20,63,4258.8,4414,1,0.015,1.074,0.083,5
252,53,21,63,4258.8,27964,1,0.021,1.182,0.095,0
253,54,21,63,4258.8,30180,1,0.017,1.074,0.062,0
254,55,21,63,4258.8,8419,1,0.012,1.074,0.059,1
255,56,21,63,4258.8,-6984,0,0.011,1.074,0.043,1
256,57,21,63,4258.8,-6984,0,0.01,1.074,0.026,3
257,58,21,63,4258.8,-6165,1,0.011,1.074,0.065,3
258,59,21,63,4258.8,95,1,0.014,1.074,0.069,5
259,60,21,63,4258.8,2946,1,0.014,1.074,0.083,5
260,61,21,63,4258.8,2615,1,0.015,1.074,0.06,5
261,53,22,63,4414.8,7099,1,0.016,1.108,0.061,0
262,54,22,63,4258.8,7111,1,0.016,1.074,0.062,0
263,55,22,63,4258.8,6891,1,0.011,1.074,0.04,1
264,56,22,63,4258.8,-6984,0,0.012,1.074,0.032,1
265,57,22,63,4258.8,960,1,0.017,1.074,0.029,3
266,58,22,63,4258.8,-6984,0,0.012,1.074,0.031,3
267,59,22,63,4258.8,-6984,0,0.012,1.074,0.035,3
268,60,22,63,4258.8,-2932,1,0.014,1.074,0.036,5
269,61,22,63,4258.8,4906,1,0.017,1.074,0.057,5
270,53,23,63,4414.8,6191,1,0.016,1.108,0.071,0
271,54,23,63,4258.8,6669,1,0.015,1.074,0.076,0
272,55,23,63,4258.8,-5387,1,0.012,1.074,0.052,1
273,56,23,63,4258.8,-6984,0,0.013,1.074,0.027,2
274,57,23,63,4258.8,4728,1,0.019,1.074,0.02,3
275,58,23,63,4258.8,-6984,0,0.01,1.074,0.018,3
276,59,23,63,4258.8,-6984,0,0.011,1.074,0.032,5
277,60,23,63,4258.8,-3804,1,0.014,1.074,0.036,5
278,56,24,63,4258.8,-6401,1,0.013,1.074,0.027,3
279,57,24,63,4258.8,-6984,0,0.012,1.074,0.023,3
280,58,24,63,4258.8,-6984,0,0.008,1.074,0.02,3
281,59,24,63,4258.8,-6984,0,0.01,1.074,0.035,5
282,60,24,63,4258.8,-4045,1,0.013,1.074,0.052,
283,56,25,63,4258.8,-6984,0,0.012,1.074,0.025,4
284,57,25,63,4258.8,-6984,0,0.011,1.074,0.024,5
285,58,25,63,4258.8,-6984,0,0.009,1.074,0.02,
286,59,25,63,4258.8,-6984,0,0.01,1.074,0.029,
287,60,25,63,4258.8,-6984,0,0.012,1.074,0.03,
288,56,26,63,4258.8,-6984,0,0.011,1.074,0.029,5
289,57,26,63,4258.8,-6984,0,0.01,1.074,0.03,5
290,58,26,63,4258.8,-6984,0,0.009,1.074,0.02,
291,59,26,63,4258.8,-6984,0,0.012,1.074,0.029,
292,60,26,63,4258.8,-6984,0,0.013,1.074,0.013,
293,56,27,63,4258.8,-6984,0,0.008,1.074,0.032,4
294,57,27,63,4258.8,-6984,0,0.006,1.074,0.029,5
295,58,27,63,4258.8,-6984,0,0.008,1.074,0.019,
296,59,27,63,4258.8,-6984,0,0.01,1.074,0.013,
297,60,27,63,4258.8,-6984,0,0.012,1.074,0.013,
298,56,28,63,4258.8,-6984,0,0.007,1.074,0.024,3
299,57,28,63,4258.79,-6984,0,0.005,1.074,0.018,5
300,58,28,63,4258.8,-6984,0,0.007,1.074,0.014,
301,59,28,63,4258.8,-6984,0,0.009,1.074,0.013,
302,60,28,63,4258.8,-6984,0,0.01,1.074,0.013,
303,56,29,63,4258.8,-6984,0,0.006,1.074,0.016,2
304,57,29,63,4258.79,-6984,0,0.005,1.074,0.012,4
305,58,29,63,4258.8,-6984,0,0.007,1.074,0.014,
306,59,29,63,4258.8,-6984,0,0.01,1.074,0.011,
307,60,29,63,4258.8,-6984,0,0.012,1.074,0.013,
308,56,30,63,4258.8,-6984,0,0.006,1.074,0.009,2
309,57,30,63,4258.79,-6984,0,0.004,1.074,0.014,3
310,58,30,63,4258.8,-6984,0,0.007,1.074,0.012,
311,59,30,63,4258.8,-6984,0,0.01,1.074,0.011,
312,60,30,63,4258.8,-3533,1,0.015,1.074,0.013,
313,56,31,63,4258.8,-6984,0,0.006,1.074,0.008,2
314,57,31,63,4258.79,-6984,0,0.004,1.074,0.016,3
315,58,31,63,4258.8,-6984,0,0.007,1.074,0.011,
316,59,31,63,4258.8,-6984,0,0.011,1.074,0.01,
317,60,31,63,4258.8,-4562,1,0.014,1.074,0.013,
318,56,32,63,4258.8,-6984,0,0.011,1.074,0.013,2
319,57,32,63,4258.79,-6984,0,0.005,1.074,0.015,2
320,58,32,63,4258.8,-6984,0,0.007,1.074,0.011,5
321,59,32,63,4258.8,-6984,0,0.01,1.074,0.01,
322,60,32,63,4258.8,-6984,0,0.012,1.074,0.01,
323,57,33,63,4258.8,-6984,0,0.007,1.074,0.013,2
324,58,33,63,4258.8,-6984,0,0.008,1.074,0.01,3
325,59,33,63,4258.8,-6984,0,0.009,1.074,0.01,
326,60,33,63,4258.8,-6984,0,0.01,1.074,0.014,
327,57,34,63,4258.8,-6984,0,0.009,1.074,0.009,2
328,58,34,63,4258.8,-6984,0,0.008,1.074,0.016,3
329,59,34,63,4258.8,-6984,0,0.009,1.074,0.013,
330,60,34,63,4258.8,-6984,0,0.011,1.074,0.014,
331,58,35,63,4258.8,-6984,0,0.01,1.074,0.015,2
332,59,35,63,4258.8,-6984,0,0.008,1.074,0.017,
333,60,35,63,4258.8,-6984,0,0.012,1.074,0.013,
334,58,36,63,4258.8,-6984,0,0.011,1.074,0.02,3
335,59,36,63,4258.8,-6984,0,0.012,1.074,0.017,
336,60,36,63,4258.8,-6984,0,0.009,1.074,0.012,
337,58,37,63,4258.8,-6984,0,0.01,1.074,0.014,
338,59,37,63,4258.8,-6984,0,0.012,1.074,0.017,
339,60,37,63,4258.8,-6984,0,0.012,1.074,0.011,
340,58,38,63,4258.8,-6984,0,0.012,1.074,0.013,5
341,59,38,63,4258.8,-5362,1,0.014,1.074,0.016,5
342,58,39,63,4258.8,-1083,1,0.015,1.074,0.044,5
343,59,39,63,4258.8,2704,1,0.018,1.074,0.018,5
344,58,40,63,4258.8,3342,1,0.019,1.074,0.015,5
345,56,9,62,3120.0,-5116,0,0.0,1.108,0.0,1
346,57,9,62,3120.0,-5116,0,0.0,1.108,0.0,
347,58,9,62,3120.0,-5116,0,0.0,1.108,0.0,
348,59,9,62,3120.0,-5116,0,0.0,1.108,0.0,
349,60,9,62,3120.0,-4087,1,0.0,1.108,0.0,
350,61,9,62,3120.0,-4087,1,0.0,1.108,0.0,
351,54,10,62,3120.0,-5116,0,0.0,1.108,0.0,1
352,55,10,62,3120.0,-5116,0,0.0,1.108,0.0,1
353,56,10,62,3120.0,-5116,0,0.0,1.108,0.0,1
354,57,10,62,3120.0,-5116,0,0.0,1.108,0.0,5
355,58,10,62,3120.0,-5116,0,0.0,1.108,0.0,
356,59,10,62,3120.0,-5116,0,0.0,1.108,0.0,
357,60,10,62,3120.0,-5116,0,0.0,1.108,0.0,
358,61,10,62,3120.0,-4087,1,0.0,1.108,0.0,
359,52,11,62,3120.0,-5116,0,0.0,1.108,0.0,0
360,53,11,62,3120.0,-5116,0,0.0,1.108,0.0,0
361,54,11,62,3120.0,-5116,0,0.0,1.108,0.0,1
362,55,11,62,3120.0,-5116,0,0.0,1.108,0.0,1
363,56,11,62,3120.0,-5116,0,0.0,1.108,0.0,1
364,57,11,62,3120.0,-5116,0,0.0,1.108,0.0,3
365,58,11,62,3120.0,-5116,0,0.0,1.108,0.0,5
366,59,11,62,3120.0,-5116,0,0.0,1.108,0.0,
367,60,11,62,3120.0,-5116,0,0.0,1.108,0.0,
368,61,11,62,3120.0,-5116,0,0.0,1.108,0.0,
369,52,12,62,3120.0,-5116,0,0.0,1.108,0.0,0
370,53,12,62,3120.0,-5116,0,0.0,1.108,0.0,0
371,54,12,62,3120.0,-5116,0,0.0,1.108,0.0,1
372,55,12,62,3120.0,-5116,0,0.0,1.108,0.0,1
373,56,12,62,3120.0,-5116,0,0.0,1.108,0.0,1
374,57,12,62,3120.0,-5116,0,0.0,1.108,0.0,3
375,58,12,62,3120.0,-5116,0,0.0,1.108,0.0,3
376,59,12,62,3120.0,-5116,0,0.0,1.108,0.0,
377,60,12,62,3120.0,-5116,0,0.0,1.108,0.0,
378,61,12,62,3120.0,-5116,0,0.0,1.108,0.0,
379,52,13,62,3120.0,-5116,0,0.0,1.108,0.0,0
380,53,13,62,3120.0,-5116,0,0.0,1.108,0.0,0
381,54,13,62,3120.0,-5116,0,0.0,1.108,0.0,1
382,55,13,62,3120.0,-5116,0,0.0,1.108,0.0,1
383,56,13,62,3120.0,-5116,0,0.0,1.108,0.0,1
384,57,13,62,3120.0,-5116,0,0.0,1.108,0.0,3
385,58,13,62,3120.0,-5116,0,0.0,1.108,0.0,3
386,59,13,62,3120.0,-5116,0,0.0,1.108,0.0,5
387,60,13,62,3120.0,-5116,0,0.0,1.108,0.0,
388,61,13,62,3120.0,-5116,0,0.0,1.108,0.0,
389,52,14,62,3120.0,-5116,0,0.0,1.108,0.0,0
390,53,14,62,3120.0,-5116,0,0.0,1.108,0.0,0
391,54,14,62,3120.0,-5116,0,0.0,1.108,0.0,1
392,55,14,62,3120.0,-5116,0,0.0,1.108,0.0,1
393,56,14,62,3120.0,-5116,0,0.0,1.108,0.0,1
394,57,14,62,3120.0,-5116,0,0.0,1.108,0.0,2
395,58,14,62,3120.0,-5116,0,0.0,1.108,0.0,3
396,59,14,62,4258.8,26019,1,0.024,1.146,0.117,2
397,60,14,62,4258.8,15942,1,0.019,1.146,0.116,3
398,61,14,62,4258.8,23358,1,0.02,1.146,0.148,3
399,52,15,62,3120.0,-5116,0,0.0,1.108,0.0,0
400,53,15,62,3120.0,-5116,0,0.0,1.108,0.0,1
401,54,15,62,3120.0,-5116,0,0.0,1.108,0.0,1
402,55,15,62,3120.0,-5116,0,0.0,1.108,0.0,1
403,56,15,62,3120.0,-5116,0,0.0,1.108,0.0,1
404,57,15,62,3120.0,-5116,0,0.0,1.108,0.0,1
405,58,15,62,4258.8,29069,1,0.027,1.146,0.096,1
406,59,15,62,4258.8,29090,1,0.025,1.146,0.124,1
407,60,15,62,4258.8,21072,1,0.02,1.146,0.14,1
408,61,15,62,4258.8,25982,1,0.023,1.146,0.131,1
409,52,16,62,3120.0,-5116,0,0.0,1.108,0.0,1
410,53,16,62,3120.0,-5116,0,0.0,1.108,0.0,1
411,54,16,62,3120.0,-5116,0,0.0,1.108,0.0,1
412,55,16,62,3120.0,-5116,0,0.0,1.108,0.0,1
413,56,16,62,3120.0,-5116,0,0.0,1.108,0.0,1
414,57,16,62,4149.6,18432,1,0.025,1.146,0.068,1
415,58,16,62,4258.8,28437,1,0.025,1.146,0.11,1
416,59,16,62,4258.8,28176,1,0.024,1.146,0.129,1
417,60,16,62,4258.8,33681,1,0.025,1.146,0.16,0
418,53,17,62,3120.0,-5116,0,0.0,1.108,0.0,1
419,54,17,62,4258.8,60294,1,0.033,1.146,0.222,0
420,55,17,62,4258.8,31787,1,0.023,1.146,0.143,1
421,56,17,62,4258.8,-6984,0,0.009,1.146,0.054,1
422,57,17,62,4149.6,23274,1,0.028,1.146,0.068,1
423,58,17,62,4149.6,-6805,0,0.025,1.146,0.051,3
424,59,17,62,4258.8,17107,1,0.022,1.146,0.051,2
425,60,17,62,4258.8,21714,1,0.021,1.146,0.118,1
426,53,18,62,4258.8,10609,1,0.019,0.716,0.174,1
427,54,18,62,4258.8,33376,1,0.024,1.074,0.164,1
