id,x,y,z,blockvalue,ton,destination,Au(oz/ton),period
80,35,205,42,-956,718.75,0,0.0,1
81,36,205,42,-275,208.33,0,0.0,1
82,33,206,42,-1375,1041.67,0,0.029,8
83,34,206,42,-1375,1041.67,0,0.029,8
84,35,206,42,-1375,1041.67,0,0.029,5
85,36,206,42,-866,656.25,0,0.0,1
86,37,206,42,-454,343.75,0,0.0,1
87,33,207,42,-1375,1041.67,0,0.029,8
88,34,207,42,-1375,1041.67,0,0.029,8
89,35,207,42,3302,1041.67,1,0.029,8
90,36,207,42,3269,1031.25,1,0.029,5
91,37,207,42,-990,750.0,0,0.0,1
92,38,207,42,-309,239.58,1,0.025,1
93,33,208,42,-1375,1041.67,0,0.028,9
94,34,208,42,2458,1041.67,1,0.028,8
95,35,208,42,3302,1041.67,1,0.029,8
96,36,208,42,-1375,1041.67,0,0.029,8
97,37,208,42,-1375,1041.67,0,0.027,5
98,38,208,42,-49,697.92,1,0.025,5
99,39,208,42,-646,489.58,0,0.023,1
100,40,208,42,-646,489.58,0,0.021,1
101,41,208,42,-426,322.92,0,0.0,5
102,33,209,42,-1375,1041.67,0,0.023,9
103,34,209,42,2458,1041.67,1,0.028,9
104,35,209,42,-1375,1041.67,0,0.029,8
105,36,209,42,-1375,1041.67,0,0.029,8
106,37,209,42,-1375,1041.67,0,0.026,8
107,38,209,42,-917,1041.67,1,0.024,8
108,39,209,42,-1334,1010.42,0,0.022,5
109,40,209,42,-1334,1010.42,0,0.019,5
110,41,209,42,-756,572.92,0,0.0,5
111,33,210,42,1615,1041.67,1,0.027,9
112,34,210,42,2458,1041.67,1,0.028,9
113,35,210,42,-1375,1041.67,0,0.028,9
114,36,210,42,-1375,1041.67,0,0.028,8
115,37,210,42,-73,1041.67,1,0.025,8
116,38,210,42,-917,1041.67,1,0.024,8
117,39,210,42,-1375,1041.67,0,0.021,6
118,40,210,42,-1375,1041.67,0,0.019,6
119,41,210,42,-1375,1041.67,0,0.0,5
120,32,211,42,3302,1041.67,1,0.029,9
121,33,211,42,2458,1041.67,1,0.028,9
122,35,211,42,-1375,1041.67,0,0.028,9
123,36,211,42,1615,1041.67,1,0.027,9
124,37,211,42,-73,1041.67,1,0.025,8
125,38,211,42,-1375,1041.67,0,0.023,8
126,39,211,42,-1375,1041.67,0,0.021,8
127,40,211,42,-1375,1041.67,0,0.019,6
128,41,211,42,-1004,760.42,0,0.0,5
129,31,212,42,1615,1041.67,1,0.027,9
130,32,212,42,1615,1041.67,1,0.027,9
131,35,212,42,1615,1041.67,1,0.027,9
132,36,212,42,543,739.58,1,0.026,9
133,37,212,42,-749,562.5,0,0.025,8
134,38,212,42,-749,562.5,0,0.022,8
135,39,212,42,-749,562.5,0,0.02,8
136,40,212,42,-749,562.5,0,0.018,8
137,41,212,42,-447,343.75,0,0.0,5
138,35,213,42,-1141,864.58,0,0.026,9
139,36,213,42,-454,343.75,0,0.025,9
140,37,213,42,-62,41.67,0,0.023,9
141,38,213,42,-62,41.67,0,0.02,8
142,39,213,42,-62,41.67,0,0.019,8
143,40,213,42,-62,41.67,0,0.0,8
144,35,214,42,-399,302.08,0,0.024,9
145,35,215,42,-117,83.33,0,0.026,9
146,34,217,42,-688,520.83,0,0.025,9
147,35,217,42,-7,10.42,0,0.0,9
148,33,218,42,-1375,1041.67,0,0.027,9
149,34,218,42,-688,520.83,0,0.027,9
150,35,218,42,-7,10.42,0,0.0,9
151,32,219,42,-1375,1041.67,0,0.029,9
152,33,219,42,-1031,781.25,0,0.029,9
153,34,219,42,1007,322.92,1,0.029,8
154,31,220,42,-653,500.0,0,0.03,9
155,32,220,42,-296,229.17,1,0.031,9
156,33,220,42,175,31.25,1,0.032,6
157,30,221,42,-488,375.0,0,0.03,9
158,36,201,41,-296,229.17,0,0.0,1
159,35,202,41,-1375,1041.67,0,0.017,5
160,36,202,41,-557,427.08,0,0.017,1
161,37,202,41,-337,250.0,0,0.0,1
162,38,202,41,-302,229.17,0,0.0,0
163,39,202,41,-227,177.08,0,0.0,0
164,40,202,41,-7,10.42,0,0.0,0
165,34,203,41,-1375,1041.67,0,0.0,8
166,35,203,41,-1375,1041.67,0,0.016,5
167,36,203,41,-921,697.92,0,0.017,1
168,37,203,41,-681,510.42,0,0.018,1
169,38,203,41,-612,458.33,0,0.0,1
170,39,203,41,-447,343.75,0,0.0,0
171,40,203,41,-227,177.08,0,0.0,0
172,41,203,41,-7,10.42,1,0.022,0
173,33,204,41,-1375,1041.67,0,0.0,8
174,34,204,41,-1375,1041.67,0,0.0,8
175,35,204,41,-1375,1041.67,0,0.016,5
176,36,204,41,-1217,916.67,0,0.016,1
177,37,204,41,-1004,760.42,0,0.017,1
178,38,204,41,-887,666.67,0,0.018,1
179,39,204,41,-667,500.0,0,0.0,1
180,40,204,41,-378,291.67,1,0.021,1
181,41,204,41,-21,20.83,1,0.021,0
182,33,205,41,-1375,1041.67,0,0.0,8
183,34,205,41,-1375,1041.67,0,0.0,8
184,35,205,41,-1375,1041.67,0,0.015,5
185,36,205,41,-1375,1041.67,0,0.016,1
186,37,205,41,-1286,968.75,0,0.016,1
187,38,205,41,-1100,833.33,0,0.017,1
188,39,205,41,-743,562.5,0,0.018,1
189,40,205,41,-433,333.33,0,0.0,1
190,41,205,41,-151,114.58,0,0.02,1
191,33,206,41,-1375,1041.67,0,0.014,8
192,34,206,41,-1375,1041.67,0,0.014,8
193,35,206,41,-1375,1041.67,0,0.014,8
194,36,206,41,-1375,1041.67,0,0.015,5
195,37,206,41,-1375,1041.67,0,0.016,1
196,38,206,41,-1251,947.92,0,0.016,1
197,39,206,41,-1018,770.83,0,0.017,1
198,40,206,41,-811,614.58,0,0.018,1
199,41,206,41,-419,322.92,0,0.0,1
200,33,207,41,-1375,1041.67,0,0.014,9
201,34,207,41,-1375,1041.67,0,0.014,8
202,35,207,41,-1375,1041.67,0,0.014,8
203,36,207,41,-1375,1041.67,0,0.014,8
204,37,207,41,-1375,1041.67,0,0.015,5
205,38,207,41,-1375,1041.67,0,0.016,1
206,39,207,41,-1368,1031.25,0,0.016,1
207,40,207,41,-1348,1020.83,0,0.017,1
208,41,207,41,-1011,760.42,0,0.0,1
209,42,207,41,-309,239.58,1,0.017,5
210,34,208,41,-1375,1041.67,0,0.014,9
211,35,208,41,-1375,1041.67,0,0.014,8
212,36,208,41,-1375,1041.67,0,0.014,8
213,37,208,41,-1375,1041.67,0,0.015,8
214,38,208,41,-1375,1041.67,0,0.016,5
215,39,208,41,-1375,1041.67,0,0.016,5
216,40,208,41,-1375,1041.67,0,0.016,5
217,41,208,41,-1375,1041.67,0,0.0,5
218,42,208,41,-825,625.0,0,0.017,5
219,43,208,41,-62,41.67,0,0.016,1
220,34,209,41,-1375,1041.67,0,0.014,9
221,35,209,41,-1375,1041.67,0,0.014,9
222,36,209,41,-1375,1041.67,0,0.014,8
223,37,209,41,-1375,1041.67,0,0.017,8
224,38,209,41,-1375,1041.67,0,0.017,8
225,39,209,41,-1375,1041.67,0,0.018,8
226,40,209,41,-1375,1041.67,0,0.018,6
227,41,209,41,-1375,1041.67,0,0.019,5
228,42,209,41,-969,739.58,0,0.016,5
229,43,209,41,-62,41.67,0,0.016,1
230,35,210,41,-1375,1041.67,0,0.015,9
231,36,210,41,-1375,1041.67,0,0.016,9
232,37,210,41,-1375,1041.67,0,0.017,8
233,38,210,41,-1375,1041.67,0,0.018,8
234,39,210,41,-1375,1041.67,0,0.018,8
235,40,210,41,-1375,1041.67,0,0.018,6
236,41,210,41,-1375,1041.67,0,0.019,6
237,42,210,41,-969,739.58,0,0.017,5
238,43,210,41,-62,41.67,0,0.016,1
239,36,211,41,-1375,1041.67,0,0.017,9
240,37,211,41,-1375,1041.67,0,0.018,9
241,38,211,41,-1375,1041.67,0,0.019,8
242,39,211,41,-1375,1041.67,0,0.019,8
243,40,211,41,-1375,1041.67,0,0.019,8
244,41,211,41,-1375,1041.67,0,0.019,8
245,42,211,41,-557,427.08,0,0.018,5
246,36,212,41,-1375,1041.67,0,0.018,9
247,37,212,41,-1375,1041.67,0,0.019,9
248,38,212,41,-1375,1041.67,0,0.02,8
249,39,212,41,-1375,1041.67,0,0.021,8
250,40,212,41,-1375,1041.67,0,0.021,8
251,41,212,41,-1375,1041.67,0,0.021,8
252,36,213,41,-1375,1041.67,0,0.02,9
253,37,213,41,-1375,1041.67,0,0.022,9
254,38,213,41,-1375,1041.67,0,0.022,9
255,39,213,41,-1375,1041.67,0,0.023,9
256,40,213,41,-917,1041.67,1,0.024,9
257,41,213,41,-921,697.92,0,0.023,8
258,36,214,41,-1293,979.17,0,0.022,9
259,37,214,41,-969,739.58,0,0.024,9
260,38,214,41,-756,572.92,0,0.024,9
261,39,214,41,424,572.92,1,0.026,9
262,40,214,41,-756,572.92,0,0.026,9
263,41,214,41,-454,343.75,0,0.025,8
264,36,215,41,-976,739.58,0,0.026,9
265,37,215,41,-516,395.83,0,0.025,9
266,38,215,41,-206,156.25,0,0.0,9
267,39,215,41,39,52.08,1,0.026,9
268,40,215,41,-69,52.08,0,0.026,9
269,37,217,41,184,83.33,1,0.028,9
270,34,218,41,-1375,1041.67,0,0.031,9
271,35,218,41,-1375,1041.67,0,0.032,9
272,36,218,41,2545,531.25,1,0.031,9
273,37,218,41,-27,20.83,1,0.029,9
274,33,219,41,-1375,1041.67,0,0.033,9
275,34,219,41,-1375,1041.67,0,0.033,9
276,35,219,41,5308,822.92,1,0.033,9
277,36,219,41,-433,333.33,1,0.032,9
278,32,220,41,-1375,1041.67,0,0.034,9
279,33,220,41,-1375,1041.67,0,0.035,9
280,34,220,41,5001,697.92,1,0.034,9
281,35,220,41,-529,395.83,0,0.034,8
282,31,221,41,-1334,1010.42,0,0.035,9
283,32,221,41,-1011,760.42,0,0.037,9
284,33,221,41,4775,500.0,1,0.037,9
285,34,221,41,-316,239.58,0,0.035,8
286,31,222,41,-715,541.67,0,0.036,9
287,32,222,41,5975,458.33,1,0.041,9
288,33,222,41,-282,218.75,1,0.039,8
289,31,223,41,-96,72.92,0,0.035,8
290,32,223,41,-82,62.5,0,0.037,9
291,64,109,40,-138,104.17,0,0.0,9
292,65,109,40,-213,166.67,0,0.0,
293,66,109,40,-213,166.67,0,0.0,
294,67,109,40,-62,41.67,0,0.0,
295,63,110,40,-165,125.0,0,0.0,9
296,64,110,40,-481,364.58,0,0.0,
297,65,110,40,-550,416.67,0,0.0,
298,66,110,40,-536,406.25,0,0.0,
299,67,110,40,-282,218.75,0,0.0,
300,62,111,40,-103,83.33,0,0.0,9
301,63,111,40,-502,385.42,0,0.0,
302,64,111,40,-825,625.0,0,0.0,
303,65,111,40,-894,677.08,0,0.0,
304,66,111,40,-756,572.92,0,0.0,
305,62,112,40,-543,406.25,0,0.0,
306,63,112,40,-1100,833.33,0,0.0,
307,64,112,40,-1162,875.0,0,0.0,
308,65,112,40,-1217,916.67,0,0.0,
309,60,113,40,-131,93.75,0,0.0,9
310,61,113,40,-406,302.08,0,0.0,
311,62,113,40,-1189,906.25,0,0.0,
312,63,113,40,-1375,1041.67,0,0.0,
313,64,113,40,-1375,1041.67,0,0.0,
314,59,114,40,-151,114.58,0,0.0,9
315,60,114,40,-447,343.75,0,0.0,
316,61,114,40,-736,552.08,0,0.0,
317,62,114,40,-1258,958.33,0,0.0,
318,63,114,40,-1375,1041.67,0,0.0,
319,64,114,40,-1375,1041.67,0,0.0,
320,58,115,40,-76,62.5,0,0.0,9
321,59,115,40,-454,343.75,0,0.0,
322,60,115,40,-756,572.92,0,0.0,
323,61,115,40,-1052,802.08,0,0.0,
324,62,115,40,-1375,1041.67,0,0.0,
325,63,115,40,-1375,1041.67,0,0.0,
326,58,116,40,-282,218.75,0,0.0,
327,59,116,40,-743,562.5,0,0.0,
328,60,116,40,-1052,802.08,0,0.0,
329,61,116,40,-1341,1020.83,0,0.0,
330,62,116,40,-1375,1041.67,0,0.0,
331,56,117,40,-138,104.17,0,0.0,9
332,57,117,40,-323,239.58,0,0.0,
333,58,117,40,-584,447.92,0,0.0,
334,59,117,40,-963,729.17,0,0.0,
335,60,117,40,-1375,1041.67,0,0.0,
336,61,117,40,-1375,1041.67,0,0.0,
337,55,118,40,-158,125.0,0,0.0,9
338,56,118,40,-468,354.17,0,0.0,
339,57,118,40,-777,593.75,0,0.0,
340,58,118,40,-1004,760.42,0,0.002,
341,59,118,40,-1265,958.33,0,0.002,
342,60,118,40,-1375,1041.67,0,0.002,
343,54,119,40,-131,93.75,0,0.0,9
344,55,119,40,-502,385.42,0,0.0,
345,56,119,40,-811,614.58,0,0.002,
346,57,119,40,-1114,843.75,0,0.002,
347,58,119,40,-1375,1041.67,0,0.002,
348,59,119,40,-1375,1041.67,0,0.002,
349,54,120,40,-571,437.5,0,0.0,
350,55,120,40,-1066,812.5,0,0.0,
351,56,120,40,-1162,875.0,0,0.002,
352,57,120,40,-1375,1041.67,0,0.002,
353,53,121,40,-433,333.33,0,0.0,
354,54,121,40,-1238,937.5,0,0.0,
355,55,121,40,-1375,1041.67,0,0.002,
356,56,121,40,-1375,1041.67,0,0.002,
357,53,122,40,-632,479.17,0,0.0,
358,54,122,40,-1320,1000.0,0,0.0,
359,55,122,40,-1375,1041.67,0,0.002,
360,52,123,40,-124,93.75,0,0.001,
361,53,123,40,-804,604.17,0,0.001,
362,54,123,40,-1375,1041.67,0,0.0,
363,52,124,40,-571,437.5,0,0.001,
364,53,124,40,-1162,875.0,0,0.001,
365,50,125,40,-69,52.08,0,0.0,
366,51,125,40,-523,395.83,0,0.0,
367,52,125,40,-1258,958.33,0,0.001,
368,50,126,40,-302,229.17,0,0.0,
369,51,126,40,-777,593.75,0,0.0,
370,46,127,40,-96,72.92,0,0.0,9
371,47,127,40,-165,125.0,0,0.0,
372,48,127,40,-268,197.92,0,0.0,
373,49,127,40,-302,229.17,0,0.0,
374,44,128,40,-69,52.08,0,0.0,9
375,45,128,40,-193,145.83,0,0.0,9
376,46,128,40,-316,239.58,0,0.0,
377,47,128,40,-440,333.33,0,0.0,
378,48,128,40,-509,385.42,0,0.0,
379,43,129,40,-27,20.83,0,0.0,9
380,44,129,40,-199,145.83,0,0.0,9
381,45,129,40,-371,281.25,0,0.0,
382,46,129,40,-536,406.25,0,0.0,
383,47,129,40,-660,500.0,0,0.0,
384,43,130,40,-117,83.33,0,0.0,9
385,44,130,40,-282,218.75,0,0.0,
386,45,130,40,-454,343.75,0,0.0,
387,43,131,40,-131,93.75,0,0.0,
388,44,133,40,-172,135.42,0,0.0,
389,44,134,40,-110,83.33,0,0.0,9
390,45,134,40,-302,229.17,0,0.0,
391,46,134,40,-481,364.58,0,0.0,
392,45,135,40,-213,166.67,0,0.0,9
393,46,135,40,-440,333.33,0,0.0,9
394,47,135,40,-667,500.0,0,0.0,9
395,48,135,40,-894,677.08,0,0.0,
396,49,135,40,-1121,854.17,0,0.0,
397,50,135,40,-1348,1020.83,0,0.0,
398,51,135,40,-1375,1041.67,0,0.0,
399,45,136,40,-213,166.67,0,0.0,8
400,46,136,40,-440,333.33,0,0.0,8
401,47,136,40,-667,500.0,0,0.0,9
402,48,136,40,-894,677.08,0,0.0,9
403,49,136,40,-1121,854.17,0,0.0,9
404,50,136,40,-1348,1020.83,0,0.0,9
405,51,136,40,-1375,1041.67,0,0.0,9
406,52,136,40,-1375,1041.67,0,0.0,9
407,53,136,40,-1375,1041.67,0,0.0,
408,54,136,40,-1375,1041.67,0,0.0,
409,45,137,40,-138,104.17,0,0.0,8
410,46,137,40,-364,281.25,0,0.0,8
411,47,137,40,-591,447.92,0,0.0,8
412,48,137,40,-818,614.58,0,0.0,9
413,49,137,40,-1045,791.67,0,0.0,9
414,50,137,40,-1334,1010.42,0,0.0,9
415,51,137,40,-1375,1041.67,0,0.0,9
416,52,137,40,-1375,1041.67,0,0.0,9
417,53,137,40,-1375,1041.67,0,0.0,9
418,54,137,40,-1375,1041.67,0,0.0,
419,55,137,40,-1375,1041.67,0,0.0,
420,56,137,40,-846,645.83,0,0.0,
421,46,138,40,-193,145.83,0,0.0,8
422,47,138,40,-419,322.92,0,0.0,8
423,48,138,40,-653,500.0,0,0.0,8
424,49,138,40,-990,750.0,0,0.0,9
425,50,138,40,-1334,1010.42,0,0.0,9
426,51,138,40,-1375,1041.67,0,0.0,9
427,52,138,40,-1375,1041.67,0,0.0,9
428,53,138,40,-1375,1041.67,0,0.0,9
429,54,138,40,-1375,1041.67,0,0.0,9
430,55,138,40,-1375,1041.67,0,0.0,
431,56,138,40,-798,604.17,0,0.0,
432,57,138,40,-117,83.33,0,0.0,
433,47,139,40,-268,197.92,0,0.0,8
434,48,139,40,-523,395.83,0,0.0,8
435,49,139,40,-777,593.75,0,0.0,8
436,50,139,40,-969,739.58,0,0.0,9
437,51,139,40,-1093,822.92,0,0.0,9
438,52,139,40,-1093,822.92,0,0.0,9
439,53,139,40,-1093,822.92,0,0.0,9
440,54,139,40,-1093,822.92,0,0.0,9
441,55,139,40,-1079,812.5,0,0.0,9
442,56,139,40,-584,447.92,0,0.0,
443,48,140,40,-179,135.42,0,0.0,7
444,49,140,40,-330,250.0,0,0.0,7
445,50,140,40,-413,312.5,0,0.0,8
446,51,140,40,-413,312.5,0,0.0,8
447,52,140,40,-413,312.5,0,0.0,8
448,53,140,40,-413,312.5,0,0.0,9
449,54,140,40,-413,312.5,0,0.0,9
450,55,140,40,-413,312.5,0,0.0,9
451,56,140,40,-282,218.75,0,0.0,9
452,36,199,40,-7,10.42,0,0.0,1
453,37,199,40,-7,10.42,0,0.0,1
454,37,200,40,-688,520.83,0,0.0,4
455,38,200,40,-688,520.83,0,0.0,1
456,39,200,40,-688,520.83,0,0.0,0
457,40,200,40,-688,520.83,0,0.0,0
458,41,200,40,-495,375.0,0,0.0,0
459,36,201,40,-1375,1041.67,0,0.0,5
460,37,201,40,-1368,1031.25,0,0.0,1
461,38,201,40,-1368,1031.25,0,0.0,1
462,39,201,40,-1368,1031.25,0,0.0,0
463,40,201,40,-1368,1031.25,0,0.0,0
464,41,201,40,-1011,760.42,0,0.0,0
465,42,201,40,-323,239.58,0,0.0,0
466,36,202,40,5833,1041.67,1,0.032,5
467,37,202,40,-1375,1041.67,0,0.0,1
468,38,202,40,-1375,1041.67,0,0.0,1
469,39,202,40,-1375,1041.67,0,0.0,0
470,40,202,40,-1375,1041.67,0,0.0,0
471,41,202,40,-1375,1041.67,0,0.0,0
472,42,202,40,-729,552.08,0,0.0,0
473,43,202,40,-48,31.25,0,0.042,0
474,35,203,40,1615,1041.67,1,0.027,8
475,36,203,40,4146,1041.67,1,0.03,5
476,37,203,40,7521,1041.67,1,0.034,1
477,38,203,40,-1375,1041.67,0,0.0,1
478,39,203,40,-1375,1041.67,0,0.0,1
479,40,203,40,-1375,1041.67,0,0.0,1
480,41,203,40,-1375,1041.67,0,0.043,0
481,42,203,40,-729,552.08,0,0.042,0
482,43,203,40,-48,31.25,0,0.042,0
483,34,204,40,-1375,1041.67,0,0.0,8
484,35,204,40,-73,1041.67,1,0.025,8
485,36,204,40,-1375,1041.67,0,0.027,5
486,37,204,40,-1375,1041.67,0,0.031,1
487,38,204,40,-1375,1041.67,0,0.035,1
488,39,204,40,-1375,1041.67,0,0.0,1
489,40,204,40,-1375,1041.67,0,0.041,1
490,41,204,40,-1375,1041.67,0,0.041,1
491,42,204,40,-729,552.08,0,0.041,0
492,43,204,40,-48,31.25,0,0.04,0
493,34,205,40,-1375,1041.67,0,0.0,8
494,35,205,40,-1375,1041.67,0,0.022,8
495,36,205,40,-1375,1041.67,0,0.025,5
496,37,205,40,-1375,1041.67,0,0.028,1
497,38,205,40,-1375,1041.67,0,0.032,1
498,39,205,40,-1375,1041.67,0,0.032,1
499,40,205,40,-1375,1041.67,0,0.038,1
500,41,205,40,-1375,1041.67,0,0.038,1
501,42,205,40,-811,614.58,0,0.038,1
502,43,205,40,-131,93.75,0,0.036,5
503,34,206,40,-1375,1041.67,0,0.016,8
504,35,206,40,-1375,1041.67,0,0.016,8
505,36,206,40,-1375,1041.67,0,0.022,8
506,37,206,40,-1375,1041.67,0,0.025,5
507,38,206,40,-1375,1041.67,0,0.028,1
508,39,206,40,-1375,1041.67,0,0.03,1
509,40,206,40,-1375,1041.67,0,0.033,1
510,41,206,40,-1375,1041.67,0,0.035,1
511,42,206,40,-1059,802.08,0,0.033,5
512,43,206,40,-454,343.75,0,0.032,5
513,34,207,40,-1375,1041.67,0,0.016,9
514,35,207,40,-1375,1041.67,0,0.016,8
515,36,207,40,-1375,1041.67,0,0.016,8
516,37,207,40,-1375,1041.67,0,0.023,8
517,38,207,40,-1375,1041.67,0,0.026,5
518,39,207,40,-1375,1041.67,0,0.027,5
519,40,207,40,-1375,1041.67,0,0.029,5
520,41,207,40,-1375,1041.67,0,0.031,5
521,42,207,40,-1375,1041.67,0,0.03,5
522,43,207,40,-990,750.0,0,0.029,5
523,44,207,40,-296,229.17,1,0.028,5
524,34,208,40,-1375,1041.67,0,0.016,9
525,35,208,40,-1375,1041.67,0,0.016,9
526,36,208,40,-1375,1041.67,0,0.016,8
527,37,208,40,-1375,1041.67,0,0.018,8
528,38,208,40,-1375,1041.67,0,0.024,8
529,39,208,40,-1375,1041.67,0,0.026,8
530,40,208,40,1615,1041.67,1,0.027,8
531,41,208,40,3302,1041.67,1,0.029,6
532,42,208,40,-1375,1041.67,0,0.028,5
533,43,208,40,-1375,1041.67,0,0.027,5
534,44,208,40,-743,562.5,0,0.026,1
535,45,208,40,-55,41.67,0,0.026,0
536,35,209,40,-1375,1041.67,0,0.016,9
537,36,209,40,-1375,1041.67,0,0.016,9
538,37,209,40,-1375,1041.67,0,0.022,8
539,38,209,40,-1375,1041.67,0,0.024,8
540,39,209,40,-73,1041.67,1,0.025,8
541,40,209,40,2458,1041.67,1,0.028,8
542,41,209,40,-1375,1041.67,0,0.029,6
543,42,209,40,-1375,1041.67,0,0.027,6
544,43,209,40,-1375,1041.67,0,0.025,5
545,44,209,40,-743,562.5,0,0.025,1
546,45,209,40,-55,41.67,0,0.024,0
547,36,210,40,-1375,1041.67,0,0.02,9
548,37,210,40,-1375,1041.67,0,0.023,9
549,38,210,40,-1375,1041.67,0,0.025,8
550,39,210,40,771,1041.67,1,0.026,8
551,40,210,40,-1375,1041.67,0,0.026,8
552,41,210,40,-1375,1041.67,0,0.028,8
553,42,210,40,-1375,1041.67,0,0.026,8
554,43,210,40,-1375,1041.67,0,0.025,5
555,44,210,40,-743,562.5,0,0.024,0
556,45,210,40,-55,41.67,0,0.024,0
557,37,211,40,-1375,1041.67,0,0.025,9
558,38,211,40,771,1041.67,1,0.026,9
559,39,211,40,1615,1041.67,1,0.027,8
560,40,211,40,-1375,1041.67,0,0.028,8
561,41,211,40,-1375,1041.67,0,0.029,8
562,42,211,40,-1375,1041.67,0,0.027,8
563,43,211,40,-1093,822.92,0,0.026,1
564,44,211,40,-419,322.92,1,0.025,0
565,37,212,40,1615,1041.67,1,0.027,9
566,38,212,40,3302,1041.67,1,0.029,9
567,39,212,40,-1375,1041.67,0,0.029,9
568,40,212,40,-1375,1041.67,0,0.029,9
569,41,212,40,-1375,1041.67,0,0.03,8
570,42,212,40,-1231,927.08,0,0.028,7
571,43,212,40,-447,343.75,0,0.027,5
572,36,213,40,2458,1041.67,1,0.028,9
573,37,213,40,4990,1041.67,1,0.031,9
574,38,213,40,-1375,1041.67,0,0.031,9
575,39,213,40,-1375,1041.67,0,0.032,9
576,40,213,40,-1375,1041.67,0,0.034,9
577,41,213,40,-1375,1041.67,0,0.032,9
578,42,213,40,-1018,770.83,0,0.03,8
579,43,213,40,-179,135.42,0,0.029,3
580,37,214,40,-1375,1041.67,0,0.033,9
581,38,214,40,-1375,1041.67,0,0.034,9
582,39,214,40,-1375,1041.67,0,0.036,9
583,40,214,40,9208,1041.67,1,0.036,9
584,41,214,40,-1375,1041.67,0,0.034,9
